,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
2023-12-04,189.42999267578125,369.1400146484375,190.0500030517578,369.5199890136719,187.4499969482422,362.8999938964844,189.97999572753906,369.1000061035156,43389500,32063300
2023-12-05,193.4199981689453,372.5199890136719,194.39999389648438,373.0799865722656,190.17999267578125,365.6199951171875,190.2100067138672,366.45001220703125,66628400,23065000
2023-12-06,192.32000732421875,368.79998779296875,194.75999450683594,374.17999267578125,192.11000061035156,368.0299987792969,194.4499969482422,373.5400085449219,41089700,21182100
2023-12-07,194.27000427246094,370.95001220703125,195.0,371.45001220703125,193.58999633789062,366.32000732421875,193.6300048828125,368.2300109863281,47477700,23118900
2023-12-08,195.7100067138672,374.2300109863281,195.99000549316406,374.4599914550781,193.6699981689453,368.2300109863281,194.1999969482422,369.20001220703125,53377300,20144800
2023-12-11,193.17999267578125,371.29998779296875,193.49000549316406,371.6000061035156,191.4199981689453,366.1000061035156,193.11000061035156,368.4800109863281,60943700,27708800
2023-12-12,194.7100067138672,374.3800048828125,194.72000122070312,374.4200134277344,191.72000122070312,370.4599914550781,193.0800018310547,370.8500061035156,52696900,24838300
2023-12-13,197.9600067138672,374.3699951171875,198.0,377.6400146484375,194.85000610351562,370.7699890136719,195.08999633789062,376.0199890136719,70404200,30955500
2023-12-14,198.11000061035156,365.92999267578125,199.6199951171875,373.760009765625,196.16000366210938,364.1300048828125,198.02000427246094,373.30999755859375,66831600,43277500
2023-12-15,197.57000732421875,370.7300109863281,198.39999389648438,372.3999938964844,197.0,366.2799987792969,197.52999877929688,366.8500061035156,128256700,78478200
2023-12-18,195.88999938964844,372.6499938964844,196.6300048828125,373.0,194.38999938964844,368.67999267578125,196.08999633789062,369.45001220703125,55751900,21802900
2023-12-19,196.94000244140625,373.260009765625,196.9499969482422,373.260009765625,195.88999938964844,369.8399963378906,196.16000366210938,371.489990234375,40714100,20603700
2023-12-20,194.8300018310547,370.6199951171875,197.67999267578125,376.0299987792969,194.8300018310547,370.5299987792969,196.89999389648438,375.0,52242800,26316700
2023-12-21,194.67999267578125,373.5400085449219,197.0800018310547,374.4100036621094,193.5,370.0400085449219,196.10000610351562,372.55999755859375,46482500,17708000
2023-12-22,193.60000610351562,374.5799865722656,195.41000366210938,375.17999267578125,192.97000122070312,372.7099914550781,195.17999267578125,373.67999267578125,37122800,17091100
2023-12-26,193.0500030517578,374.6600036621094,193.88999938964844,376.94000244140625,192.8300018310547,373.5,193.61000061035156,375.0,28919300,12673100
2023-12-27,193.14999389648438,374.07000732421875,193.5,375.05999755859375,191.08999633789062,372.80999755859375,192.49000549316406,373.69000244140625,48087700,14905400
2023-12-28,193.5800018310547,375.2799987792969,194.66000366210938,376.4599914550781,193.1699981689453,374.1600036621094,194.13999938964844,375.3699951171875,34049900,14327000
2023-12-29,192.52999877929688,376.0400085449219,194.39999389648438,377.1600036621094,191.72999572753906,373.4800109863281,193.89999389648438,376.0,42628800,18723000
2024-01-02,185.63999938964844,370.8699951171875,188.44000244140625,375.8999938964844,183.88999938964844,366.7699890136719,187.14999389648438,373.8599853515625,82488700,25258600
2024-01-03,184.25,370.6000061035156,185.8800048828125,373.260009765625,183.42999267578125,368.510009765625,184.22000122070312,369.010009765625,58371400,23058000
2024-01-04,182.1300048828125,372.7300109863281,183.0872039794922,373.1000061035156,180.8800048828125,370.5,184.22000122070312,370.6650085449219,25537560,5263292
