Open,High,Low,Close,Adj Close,Volume
177.83,182.88,177.71,182.01,179.72,104487900
182.63,182.94,179.12,179.7,177.44,99310400
179.61,180.17,174.64,174.92,172.72,94537600
172.7,175.3,171.64,172.0,169.84,96904000
172.89,174.14,171.03,172.17,170.01,86709100
169.08,172.5,168.17,172.19,170.03,106765600
172.32,175.18,170.82,175.08,172.88,76138300
176.12,177.18,174.82,175.53,173.33,74805200
175.78,176.62,171.79,172.19,170.03,84505800
171.34,173.78,171.09,173.07,170.9,80440800
171.51,172.54,169.41,169.8,167.67,90956700
170.0,171.08,165.94,166.23,164.14,94815000
166.98,169.68,164.18,164.51,162.44,91420500
164.42,166.33,162.3,162.41,160.37,122848900
160.02,162.3,154.7,161.62,159.59,162294600
158.98,162.76,157.02,159.78,157.77,115798400
163.5,164.39,157.82,159.69,157.68,108275300
162.45,163.84,158.28,159.22,157.22,121954600
165.71,170.35,162.8,170.33,168.19,179935700
170.16,175.0,169.51,174.78,172.59,115541600
174.01,174.84,172.31,174.61,172.42,86213900
174.75,175.88,173.33,175.84,173.63,84914300
174.48,176.24,172.12,172.9,170.73,89418100
171.68,174.1,170.68,172.39,170.44,82465400
172.86,173.95,170.95,171.66,169.72,77251200
171.73,175.35,171.43,174.83,172.85,74829200
176.05,176.65,174.9,176.28,174.29,71285000
174.14,175.48,171.55,172.12,170.18,90865900
172.33,173.08,168.04,168.64,166.73,98670700
167.37,169.58,166.56,168.88,166.97,86185500
170.97,172.95,170.25,172.79,170.84,62527400
171.85,173.34,170.05,172.55,170.6,61177400
171.03,171.91,168.47,168.88,166.97,69589300
169.82,170.54,166.19,167.3,165.41,82772700
164.98,166.69,162.15,164.32,162.46,91162800
165.54,166.15,159.75,160.07,158.26,90009200
152.58,162.85,152.0,162.74,160.9,141147500
163.84,165.12,160.87,164.85,162.99,91974200
163.06,165.42,162.43,165.12,163.25,95056600
164.7,166.6,161.97,163.2,161.36,83474400
164.39,167.36,162.95,166.56,164.68,79724800
168.47,168.91,165.55,166.23,164.35,76678400
164.49,165.55,162.1,163.17,161.33,83737200
163.36,165.02,159.04,159.3,157.5,96418800
158.82,162.88,155.8,157.44,155.66,131148300
161.48,163.41,159.41,162.95,161.11,91454900
160.2,160.39,155.98,158.52,156.73,105342000
158.93,159.28,154.5,154.73,152.98,96970100
