date,symbol,open,high,low,close,volume
2022-01-04,CSPX.L,490.72,493.75,488.34,489.19,129093
2022-01-05,CSPX.L,488.99,489.82,488.0,488.71,55219
2022-01-06,CSPX.L,479.78,482.35,477.21,480.19,103582
2022-01-07,CSPX.L,480.06,481.27,476.18,477.88,163456
2022-01-10,CSPX.L,478.65,479.26,467.95,470.81,138408
2022-01-11,CSPX.L,477.42,479.6,473.77,477.9,117429
2022-01-12,CSPX.L,482.12,484.85,480.54,482.51,69799
2022-01-13,CSPX.L,481.75,484.33,480.9,482.5,182370
2022-01-14,CSPX.L,476.2,482.5,471.43,473.56,62675
2022-01-17,CSPX.L,476.21,477.44,475.44,476.64,27932
2022-01-18,CSPX.L,473.72,474.13,468.1,468.1,136642
2022-01-19,CSPX.L,464.73,471.02,464.2,466.52,144626
2022-01-20,CSPX.L,465.04,470.04,463.5,469.44,109256
2022-01-21,CSPX.L,457.42,459.09,451.65,457.88,304357
2022-01-24,CSPX.L,451.42,453.03,435.44,437.95,239083
2022-01-25,CSPX.L,445.48,448.63,437.8,441.91,162131
2022-01-26,CSPX.L,446.07,454.06,445.91,451.79,141529
2022-01-27,CSPX.L,440.59,452.67,440.12,450.01,130481
2022-01-28,CSPX.L,444.65,446.56,436.74,445.77,140358
2022-01-31,CSPX.L,453.1,458.2,450.0,456.14,94357
2022-02-01,CSPX.L,460.64,462.0,457.5,461.47,84745
2022-02-02,CSPX.L,466.56,468.66,464.32,465.15,110744
2022-02-03,CSPX.L,464.91,465.1,460.88,462.34,133614
2022-02-04,CSPX.L,462.33,463.0,454.52,457.69,78884
2022-02-07,CSPX.L,460.22,461.92,457.97,459.68,111130
2022-02-08,CSPX.L,458.28,460.78,456.32,460.78,242042
2022-02-09,CSPX.L,463.24,468.2,463.0,467.61,95226
2022-02-10,CSPX.L,468.35,469.05,462.09,465.49,62378
2022-02-11,CSPX.L,457.92,462.58,457.35,458.91,178492
2022-02-14,CSPX.L,452.42,452.42,445.75,450.71,125408
2022-02-15,CSPX.L,449.38,457.33,448.84,456.62,52118
2022-02-16,CSPX.L,456.43,458.79,453.36,454.14,83961
