date,symbol,open,high,low,close,volume
2022-01-04,VHVG.L,68.56,68.73,68.0,68.07,4465
2022-01-05,VHVG.L,68.0,68.3,67.92,68.04,4709
2022-01-06,VHVG.L,67.11,67.17,66.62,66.98,9715
2022-01-07,VHVG.L,66.89,67.21,66.42,66.57,3135
2022-01-10,VHVG.L,66.6,66.62,65.38,65.75,3909
2022-01-11,VHVG.L,66.09,66.59,66.04,66.42,1047
2022-01-12,VHVG.L,66.63,66.98,66.63,66.67,2283
2022-01-13,VHVG.L,66.66,66.79,66.45,66.54,2348
2022-01-14,VHVG.L,65.5,66.02,65.44,65.62,3515
2022-01-17,VHVG.L,66.09,66.33,66.03,66.21,1934
2022-01-18,VHVG.L,65.65,66.1,65.44,65.51,880
2022-01-19,VHVG.L,64.87,65.53,64.87,65.04,2513
2022-01-20,VHVG.L,64.71,65.37,64.71,65.35,4186
2022-01-21,VHVG.L,64.58,64.59,63.92,64.46,3238
2022-01-24,VHVG.L,63.86,63.86,62.03,62.19,6646
2022-01-25,VHVG.L,62.98,63.31,62.22,62.55,5990
2022-01-26,VHVG.L,63.53,63.79,63.2,63.53,6803
2022-01-27,VHVG.L,62.65,64.03,61.36,63.51,1411
2022-01-28,VHVG.L,62.91,62.92,62.16,62.94,1136
2022-01-31,VHVG.L,63.58,64.25,63.5,64.13,3395
2022-02-01,VHVG.L,64.84,64.95,64.37,64.56,2640
2022-02-02,VHVG.L,64.91,65.44,64.91,64.95,2034
2022-02-03,VHVG.L,65.05,65.05,64.16,64.25,1775
2022-02-04,VHVG.L,64.23,64.69,63.82,63.88,2913
2022-02-07,VHVG.L,64.28,64.66,64.17,64.5,1191
2022-02-08,VHVG.L,64.51,64.51,64.05,64.35,1032
2022-02-09,VHVG.L,64.9,65.55,64.77,65.42,1465
2022-02-10,VHVG.L,65.69,65.69,65.04,65.01,1842
2022-02-11,VHVG.L,64.26,64.76,64.16,64.25,2654
2022-02-14,VHVG.L,63.83,63.83,62.97,63.4,1744
2022-02-15,VHVG.L,64.11,64.29,62.92,64.15,4343
2022-02-16,VHVG.L,64.37,64.44,63.7,63.81,1527
2022-02-17,VHVG.L,63.16,64.31,63.16,63.31,151
2022-02-18,VHVG.L,63.3,63.31,62.52,62.6,2340
2022-02-21,VHVG.L,62.56,63.12,61.75,61.88,1885
2022-02-22,VHVG.L,62.88,62.88,61.02,61.97,982
2022-02-23,VHVG.L,62.31,62.49,61.83,61.62,2476
2022-02-24,VHVG.L,60.04,61.24,59.81,60.88,3735
2022-02-25,VHVG.L,61.32,62.71,61.29,63.03,1663
