date,symbol,open,high,low,close,volume
2022-01-04,VUAG.L,65.26,65.4,64.67,64.76,43499
2022-01-05,VUAG.L,64.75,65.0,64.56,64.61,34692
2022-01-06,VUAG.L,63.75,64.03,63.25,63.62,52951
2022-01-07,VUAG.L,63.63,63.91,62.96,63.17,37333
2022-01-10,VUAG.L,63.21,63.46,61.91,62.23,41500
2022-01-11,VUAG.L,62.86,63.25,62.53,62.96,34167
2022-01-12,VUAG.L,63.44,63.77,62.98,63.12,23726
2022-01-13,VUAG.L,63.02,63.2,62.81,63.02,16715
2022-01-14,VUAG.L,62.24,62.55,61.5,62.01,20797
2022-01-17,VUAG.L,62.39,62.74,62.33,62.6,26676
2022-01-18,VUAG.L,62.27,62.55,61.82,61.9,49758
2022-01-19,VUAG.L,61.32,61.9,61.0,61.43,19250
2022-01-20,VUAG.L,61.2,61.75,60.98,61.67,24539
2022-01-21,VUAG.L,60.5,60.72,59.78,60.64,100095
2022-01-24,VUAG.L,59.81,60.0,58.22,58.35,77316
2022-01-25,VUAG.L,59.19,59.69,58.34,58.88,60138
2022-01-26,VUAG.L,59.22,60.36,59.0,59.92,52472
2022-01-27,VUAG.L,58.87,60.56,58.64,60.03,52325
2022-01-28,VUAG.L,59.5,59.78,58.56,59.55,22065
2022-01-31,VUAG.L,60.5,61.0,60.17,60.96,38460
2022-02-01,VUAG.L,61.29,61.54,60.93,61.19,47297
2022-02-02,VUAG.L,61.84,62.03,61.43,61.56,64384
2022-02-03,VUAG.L,61.51,61.64,60.84,60.94,37024
2022-02-04,VUAG.L,60.98,61.13,60.29,60.57,24131
2022-02-07,VUAG.L,60.82,61.26,60.67,60.99,16465
2022-02-08,VUAG.L,60.75,60.91,60.32,60.89,21514
2022-02-09,VUAG.L,61.33,61.96,61.18,61.85,19648
2022-02-10,VUAG.L,62.04,62.18,61.29,61.35,37712
2022-02-11,VUAG.L,60.71,61.04,60.5,60.54,11965
2022-02-14,VUAG.L,59.93,60.0,59.15,59.76,17795
2022-02-15,VUAG.L,59.56,60.61,59.53,60.4,20534
2022-02-16,VUAG.L,60.33,60.65,59.88,60.03,12203
2022-02-17,VUAG.L,60.28,60.33,59.2,59.53,11586
2022-02-18,VUAG.L,59.29,59.33,58.71,58.82,15174
2022-02-21,VUAG.L,59.02,59.04,58.05,58.03,20743
2022-02-22,VUAG.L,57.71,59.0,57.63,58.28,27778
2022-02-23,VUAG.L,58.32,58.64,57.86,57.85,13858
2022-02-24,VUAG.L,56.28,57.87,56.0,57.45,35237
2022-02-25,VUAG.L,58.21,59.75,57.96,59.63,47127
2022-02-28,VUAG.L,59.0,59.97,58.95,59.94,15691
2022-03-01,VUAG.L,59.93,60.11,59.22,59.65,22965
2022-03-02,VUAG.L,59.37,60.24,59.25,60.13,45022
2022-03-03,VUAG.L,60.08,60.61,59.85,60.02,36550
2022-03-04,VUAG.L,59.93,60.16,59.5,59.63,15473
2022-03-07,VUAG.L,59.28,60.34,59.0,59.71,22577
2022-03-08,VUAG.L,58.5,59.22,58.19,58.41,25086
2022-03-09,VUAG.L,58.79,59.62,58.73,59.2,37446
2022-03-10,VUAG.L,59.47,59.74,58.84,58.9,20799
2022-03-11,VUAG.L,59.89,60.85,59.61,59.83,12616
2022-03-14,VUAG.L,59.6,59.85,58.92,59.09,44953
2022-03-15,VUAG.L,58.64,59.74,58.29,59.72,291687
2022-03-16,VUAG.L,60.5,60.94,60.32,60.7,25943
2022-03-17,VUAG.L,60.78,61.2,60.35,61.05,94211
2022-03-18,VUAG.L,61.29,61.75,61.17,61.74,35568
2022-03-21,VUAG.L,62.12,62.49,61.82,61.96,45412
2022-03-22,VUAG.L,62.4,62.66,61.91,62.31,27448
2022-03-23,VUAG.L,62.53,62.64,62.3,62.44,14901
2022-03-24,VUAG.L,62.3,62.79,62.09,62.49,11315
2022-03-25,VUAG.L,63.02,63.25,62.68,62.92,23275
2022-03-28,VUAG.L,63.17,63.9,62.84,63.59,28421
2022-03-29,VUAG.L,64.24,64.71,64.14,64.45,49726
2022-03-30,VUAG.L,64.8,64.9,64.17,64.26,22229
2022-03-31,VUAG.L,64.45,64.58,64.03,64.09,32071
2022-04-01,VUAG.L,63.74,63.92,63.43,63.46,27218
2022-04-04,VUAG.L,63.68,63.99,63.4,63.94,38479
2022-04-05,VUAG.L,64.03,64.31,63.68,63.87,33522
2022-04-06,VUAG.L,63.71,63.8,62.62,62.78,48578
2022-04-07,VUAG.L,62.86,63.14,62.69,62.72,39307
2022-04-08,VUAG.L,63.59,63.87,63.25,63.65,28869
2022-04-11,VUAG.L,63.15,63.35,62.4,62.46,54634
2022-04-12,VUAG.L,62.15,62.98,61.97,62.76,37341
2022-04-13,VUAG.L,62.52,62.6,62.03,62.37,36673
2022-04-14,VUAG.L,62.24,62.72,62.12,62.39,17088
