Open,High,Low,Close,Adj Close,Volume
32.65,32.87,32.53,32.78,30.28,922919
32.77,32.91,32.71,32.86,30.36,379070
32.48,32.77,32.4,32.57,30.09,505078
32.58,32.7,32.49,32.7,30.21,534935
32.74,32.76,32.44,32.54,30.06,474086
32.72,32.77,32.6,32.74,30.24,492219
32.88,33.06,32.86,33.01,30.49,295460
32.95,33.08,32.92,33.06,30.54,502586
32.91,33.08,32.87,32.96,30.45,481445
33.07,33.28,33.06,33.26,30.73,445209
33.18,33.19,32.93,33.07,30.55,443365
32.88,33.28,32.88,33.19,30.66,519824
33.26,33.31,33.01,33.17,30.65,332411
32.83,32.93,32.56,32.75,30.26,426884
32.61,32.76,31.83,31.91,29.48,951700
32.13,32.28,31.94,32.22,29.77,716144
32.56,32.95,32.53,32.72,30.23,920148
32.35,33.26,32.31,33.08,30.56,587778
33.01,33.04,32.5,32.64,30.16,889004
32.94,32.97,32.62,32.71,30.22,348027
32.85,33.05,32.84,32.99,30.48,730378
33.12,33.28,33.08,33.15,30.63,295078
33.19,33.28,32.95,32.95,30.44,640480
33.16,33.25,32.8,32.9,30.4,620872
32.97,33.22,32.86,33.13,30.61,473858
33.19,33.39,33.04,33.12,30.6,563801
33.27,33.52,33.24,33.46,30.91,684768
33.46,33.65,33.36,33.58,31.02,395453
33.27,33.56,33.24,33.51,30.96,519139
33.13,33.17,32.76,32.97,30.46,1022368
32.88,33.31,32.83,33.31,30.77,689828
33.28,33.4,33.12,33.27,30.74,639137
33.3,33.33,32.89,33.03,30.52,491996
33.11,33.19,32.91,32.94,30.44,522324
33.12,33.2,32.67,32.83,30.34,277709
32.32,33.05,32.3,32.9,30.4,361172
32.89,33.14,32.87,32.91,30.41,279876
31.94,32.31,31.7,31.73,29.31,1043844
32.01,33.01,31.94,32.97,30.46,860242
32.46,32.88,32.39,32.79,30.3,1231356
32.84,33.01,32.28,32.28,29.82,665876
32.37,32.87,32.3,32.72,30.23,731306
32.74,32.88,31.86,31.89,29.46,505984
31.67,31.78,30.74,30.77,28.43,1064336
30.22,30.97,29.9,30.66,28.32,865950
30.36,30.91,30.36,30.7,28.37,933994
31.3,31.78,31.09,31.78,29.36,677200
31.77,31.77,31.26,31.42,29.02,593553
31.57,32.1,31.48,31.65,29.24,813903
31.8,31.96,31.62,31.83,29.41,717888
31.49,31.78,31.32,31.78,29.36,735971
32.29,32.36,32.04,32.28,29.83,563970
32.22,32.53,31.96,32.53,30.24,571239
