Open,High,Low,Close,Adj Close,Volume
67.57,67.7,66.93,67.12,67.12,566213
67.07,67.18,66.83,66.88,66.88,416764
65.99,66.11,65.49,65.86,65.86,456984
65.86,66.66,65.13,65.36,65.36,464570
65.42,65.49,64.01,64.42,64.42,434946
65.19,65.47,64.7,65.21,65.21,403367
65.67,66.0,65.19,65.43,65.43,337567
65.13,65.73,65.01,65.24,65.24,289080
64.44,64.65,63.85,64.34,64.34,368770
64.59,64.96,64.42,64.82,64.82,246777
64.47,64.53,63.96,64.0,64.0,321346
63.5,64.15,63.19,63.52,63.52,503031
63.36,63.92,63.13,63.88,63.88,424327
62.49,63.0,61.86,62.71,62.71,577324
61.85,62.11,60.1,60.44,60.44,700902
61.32,61.81,60.38,60.78,60.78,777800
61.34,62.5,61.31,62.05,62.05,590868
60.9,62.83,60.86,62.37,62.37,358224
61.66,61.76,60.5,61.65,61.65,345501
62.62,63.2,62.27,63.08,63.08,496055
63.46,63.73,63.05,63.41,63.41,525152
63.99,64.22,63.41,63.68,63.68,371875
63.68,63.72,62.87,63.06,63.06,247195
63.17,63.39,62.4,62.72,62.72,251652
63.1,63.44,62.8,63.05,63.05,328714
62.88,63.12,62.55,63.12,63.12,277650
63.45,64.18,63.41,64.06,64.06,1361334
64.21,64.54,63.41,63.42,63.42,250091
62.85,63.4,62.6,62.64,62.64,228004
62.01,62.15,61.22,61.88,61.88,370532
61.67,62.75,61.61,62.63,62.63,260585
62.5,62.77,61.98,62.09,62.09,424510
62.36,62.46,61.41,61.63,61.63,161939
61.37,61.55,60.74,60.88,60.88,299820
61.1,61.3,60.06,60.11,60.11,342210
59.72,61.11,59.6,60.42,60.42,464633
60.38,60.73,59.85,60.0,60.0,316647
58.27,59.89,58.02,59.51,59.51,651830
60.24,61.79,59.92,61.79,61.79,557574
61.28,62.11,61.0,61.99,61.99,360834
62.09,62.49,61.3,61.51,61.51,291736
61.46,62.42,61.32,62.31,62.31,329980
62.16,62.78,61.92,62.13,62.13,247128
62.01,62.69,61.54,61.74,61.74,298946
61.33,62.38,61.11,61.7,61.7,368421
60.37,61.32,60.19,60.39,60.39,281450
61.1,61.71,60.81,61.58,61.58,256252
61.52,61.69,60.9,61.03,61.03,433970
61.97,62.89,61.69,61.74,61.74,242539
61.62,61.98,61.0,61.1,61.1,225480
60.66,61.83,60.35,61.77,61.77,416612
62.53,63.04,62.38,62.81,62.81,450373
62.72,63.25,62.26,63.06,63.06,275647
63.36,63.74,63.1,63.69,63.69,548572
64.06,64.49,63.81,63.97,63.97,407890
64.38,64.58,63.9,64.36,64.36,339277
64.48,64.64,64.26,64.42,64.42,398633
64.27,64.76,63.81,64.49,64.49,300755
65.03,65.22,64.64,64.89,64.89,359659
65.15,65.98,65.11,65.61,65.61,550019
66.32,66.8,66.06,66.51,66.51,584125
66.83,66.87,66.03,66.38,66.38,365199
66.57,66.67,66.16,66.21,66.21,434099
65.79,66.06,65.43,65.48,65.48,417626
65.72,66.04,65.47,65.96,65.96,316229
66.08,66.3,65.71,65.98,65.98,252194
65.78,65.79,64.64,64.78,64.78,244460
64.92,65.27,64.7,64.75,64.75,297608
65.64,65.81,65.25,65.68,65.68,216839
65.17,65.43,64.39,64.54,64.54,272473
64.13,65.0,63.94,64.85,64.85,125881
64.55,64.7,64.02,64.32,64.32,283107
64.24,64.67,64.07,64.36,64.36,131713
64.22,65.0,63.68,64.86,64.86,442083
64.71,65.22,64.66,64.97,64.97,113734
64.89,65.51,64.88,65.04,65.04,133464
64.23,64.7,63.92,63.98,63.98,130853
62.9,63.46,62.73,63.0,63.0,185873
63.96,64.08,63.27,63.35,63.35,317795
63.36,63.87,63.0,63.87,63.87,478531
64.04,64.77,63.91,64.33,64.33,298021
64.7,64.72,63.47,63.83,63.83,156244
63.04,63.59,62.69,63.57,63.57,450541
63.53,63.65,62.97,63.03,63.03,264456
64.87,65.6,63.66,63.93,63.93,330749
63.93,63.93,62.57,63.32,63.32,245462
63.23,63.36,61.76,61.83,61.83,772729
61.97,62.66,61.24,61.42,61.42,930293
61.76,62.3,61.0,62.04,62.04,475223
60.91,61.51,60.26,60.98,60.98,275261
61.58,62.62,61.44,62.42,62.42,619296
62.02,62.4,61.75,62.01,62.01,759596
61.76,62.27,61.46,61.83,61.83,268752
62.22,62.52,60.83,60.88,60.88,233594
60.24,60.44,59.0,59.47,59.47,306767
59.68,60.16,58.81,58.98,58.98,185332
59.78,59.97,59.07,59.97,59.97,552586
59.17,59.96,58.77,58.97,58.97,413492
60.01,60.26,59.54,59.9,59.9,207604
60.02,61.18,59.96,61.04,61.04,294424
61.04,62.13,60.95,62.12,62.12,269867
62.99,63.26,62.62,62.78,62.78,337953
62.59,62.69,61.96,62.1,62.1,307037
62.49,63.11,62.11,62.27,62.27,584482
62.65,63.13,62.58,62.66,62.66,420908
62.47,62.6,61.82,62.23,62.23,273150
