date,symbol,open,high,low,close,volume
2022-01-04,VWRP.L,88.33,88.66,87.63,87.72,23562
2022-01-05,VWRP.L,87.7,88.06,87.52,87.67,14757
2022-01-06,VWRP.L,86.41,86.75,85.93,86.45,22791
2022-01-07,VWRP.L,86.38,86.59,85.54,85.81,20072
2022-01-10,VWRP.L,86.35,86.35,84.37,84.84,28935
2022-01-11,VWRP.L,85.69,86.02,85.36,85.81,16776
2022-01-12,VWRP.L,86.49,86.87,86.04,86.19,14805
2022-01-13,VWRP.L,86.02,86.65,85.85,86.11,7272
2022-01-14,VWRP.L,85.2,85.46,84.51,85.01,18313
2022-01-17,VWRP.L,85.38,85.93,85.17,85.78,11344
2022-01-18,VWRP.L,85.56,85.56,84.53,84.81,12355
2022-01-19,VWRP.L,84.06,85.21,83.59,84.3,19983
2022-01-20,VWRP.L,84.57,84.94,83.91,84.8,18086
2022-01-21,VWRP.L,83.44,83.94,82.59,83.74,33617
2022-01-24,VWRP.L,82.65,83.0,80.43,80.72,33344
2022-01-25,VWRP.L,81.66,82.19,80.59,81.21,34183
2022-01-26,VWRP.L,81.78,83.06,81.59,82.39,31256
2022-01-27,VWRP.L,81.12,83.07,80.84,82.32,22187
2022-01-28,VWRP.L,81.82,82.09,80.49,81.61,14232
2022-01-31,VWRP.L,82.71,83.53,82.32,83.41,21915
2022-02-01,VWRP.L,83.81,84.37,83.42,83.82,12716
2022-02-02,VWRP.L,84.52,85.11,84.03,84.12,6938
2022-02-03,VWRP.L,83.98,84.06,83.15,83.25,14399
2022-02-04,VWRP.L,83.66,83.94,82.59,82.82,9885
2022-02-07,VWRP.L,83.09,83.9,83.04,83.57,13431
2022-02-08,VWRP.L,83.27,83.59,82.89,83.57,12658
2022-02-09,VWRP.L,84.15,85.02,83.92,84.86,13362
2022-02-10,VWRP.L,85.09,85.35,83.99,84.37,21332
2022-02-11,VWRP.L,83.6,84.14,83.29,83.44,8626
2022-02-14,VWRP.L,82.51,82.81,81.47,82.32,15545
2022-02-15,VWRP.L,82.06,83.54,81.77,83.31,10117
2022-02-16,VWRP.L,83.4,83.78,82.69,82.94,9934
2022-02-17,VWRP.L,83.2,83.49,82.0,82.29,7386
2022-02-18,VWRP.L,81.9,82.32,81.22,81.37,9850
2022-02-21,VWRP.L,81.68,81.94,80.02,80.35,30895
2022-02-22,VWRP.L,79.74,81.48,79.51,80.72,28932
2022-02-23,VWRP.L,80.61,81.14,79.92,80.19,13337
2022-02-24,VWRP.L,77.92,79.44,77.52,78.97,48260
2022-02-25,VWRP.L,79.95,81.84,79.65,81.76,19009
2022-02-28,VWRP.L,80.93,82.02,80.56,81.92,14403
2022-03-01,VWRP.L,81.97,82.26,80.98,81.1,37860
2022-03-02,VWRP.L,81.0,81.88,80.53,81.68,18780
2022-03-03,VWRP.L,81.65,82.08,80.96,81.1,7489
2022-03-04,VWRP.L,81.04,81.22,79.98,80.21,19684
2022-03-07,VWRP.L,79.49,80.63,78.81,79.93,28244
2022-03-08,VWRP.L,78.38,79.61,78.18,78.47,13248
2022-03-09,VWRP.L,79.43,80.53,79.1,80.25,31980
2022-03-10,VWRP.L,80.78,80.78,79.5,79.64,21727
2022-03-11,VWRP.L,80.48,81.85,80.4,80.39,10309
2022-03-14,VWRP.L,80.46,80.73,79.6,79.71,15006
