sector_code, sector_name, industry_group_code, industry_group_name, industry_code, industry_name, sub_industry_code, sub_industry_name
10,Energy,1010,Energy,101010,Energy Equipment & Services,10101010,Oil & Gas Drilling
10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services
10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas
10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102030,Oil & Gas Refining & Marketing
10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102040,Oil & Gas Storage & Transportation
10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102050,Coal & Consumable Fuels
15,Materials,1510,Materials,151010,Chemicals,15101010,Commodity Chemicals
15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals
15,Materials,1510,Materials,151010,Chemicals,15101030,Fertilizers & Agricultural Chemicals
15,Materials,1510,Materials,151010,Chemicals,15101040,Industrial Gases
15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals
15,Materials,1510,Materials,151020,Construction Materials,15102010,Construction Materials
15,Materials,1510,Materials,151030,Containers & Packaging,15103010,"Metal, Glass & Plastic Containers  (New Name)"
15,Materials,1510,Materials,151030,Containers & Packaging,15103020,Paper & Plastic Packaging Products & Materials (New Name)
15,Materials,1510,Materials,151040,Metals & Mining,15104010,Aluminum
15,Materials,1510,Materials,151040,Metals & Mining,15104020,Diversified Metals & Mining
15,Materials,1510,Materials,151040,Metals & Mining,15104025,Copper
15,Materials,1510,Materials,151040,Metals & Mining,15104030,Gold
15,Materials,1510,Materials,151040,Metals & Mining,15104040,Precious Metals & Minerals
15,Materials,1510,Materials,151040,Metals & Mining,15104045,Silver
15,Materials,1510,Materials,151040,Metals & Mining,15104050,Steel
15,Materials,1510,Materials,151050,Paper & Forest Products,15105010,Forest Products
15,Materials,1510,Materials,151050,Paper & Forest Products,15105020,Paper Products
20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense
20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products
20,Industrials,2010,Capital Goods,201030,Construction & Engineering,20103010,Construction & Engineering
