Symbol,Description,exchange_code,asset_type
5ESG.L,UBS Irl ETF plc - S\u0026P 500 ESG UCITS ETF,LSE,ETF,TRADING212
AASG.L,Amundi Msci EM Asia UCITS ETF,LSE,ETF,TRADING212
ABTCGBP.L,21Shares Bitcoin ETP,LSE,ETF,TRADING212
ACWI.L,SPDR MSCI ACWI ETF,LSE,ETF,TRADING212
AEGG.L,iShares Global Aggregate Bond ESG UCITS ETF,LSE,ETF,TRADING212
AETHGBP.L,21Shares Ethereum Staking ETP,LSE,ETF,TRADING212
AGAP.L,WisdomTree Agriculture,LSE,ETF,TRADING212
AGBP.L,iShares Core Global Aggregate Bond UCITS ETF,LSE,ETF,TRADING212
AGCP.L,WisdomTree Broad Commodities,LSE,ETF,TRADING212
AGES.L,iShares Ageing Population UCITS ETF,LSE,ETF,TRADING212
AGGB.L,UBS ETC linked to the UBS Bloomberg CMCI Agriculture GBP Mth Hdg TR,LSE,ETF,TRADING212
AGGP.L,WisdomTree Grains,LSE,ETF,TRADING212
ALAG.L,Amundi Msci EM Latin America UCITS ETF,LSE,ETF,TRADING212
AMAP.L,Saturna Al-Kawthar Global Focused Equity UCITS ETF,LSE,ETF,TRADING212
AMPS.L,WisdomTree Battery Metals,LSE,ETF,TRADING212
ANRJ.L,Amundi Global Hydrogen ESG Screened UCITS ETF,LSE,ETF,TRADING212
AQWG.L,Global X Clean Water UCITS ETF,LSE,ETF,TRADING212
ASPY.L,L\u0026G Emerging Cyber Security ESG Exclusions UCITS ETF,LSE,ETF,TRADING212
AUEG.L,Amundi MSCI Emerging Markets UCITS ETF,LSE,ETF,TRADING212
BATG.L,L\u0026G Battery Value-Chain UCITS ETF,LSE,ETF,TRADING212
BBM3.L,JPMorgan Betabuilders US Treasury Bond 0-3 Months UCITS ETF,LSE,ETF,TRADING212
BBTP.L,JPMorgan BetaBuilders US Treasury Bond UCITS ETF,LSE,ETF,TRADING212
BCHS.L,Invesco CoinShares Global Blockchain UCITS ETF,LSE,ETF,TRADING212
BCOG.L,L\u0026G All Commodities UCITS ETF,LSE,ETF,TRADING212
BKCG.L,Global X Blockchain UCITS ETF,LSE,ETF,TRADING212
BKCN.L,Wisdomtree Blockchain UCITS ETF,LSE,ETF,TRADING212
BLOK.L,First Trust Indxx Innovative Transaction \u0026 Process UCITS ETF,LSE,ETF,TRADING212
BNKE.L,Amundi Euro Stoxx Banks UCITS ETF,LSE,ETF,TRADING212
BOTG.L,Global X Robotics \u0026 Artificial Intelligence UCITS ETF,LSE,ETF,TRADING212
BRIC.L,iShares BIC 50 UCITS ETF,LSE,ETF,TRADING212
BRNB.L,WisdomTree Bloomberg Brent Crude Oil,LSE,ETF,TRADING212
BRNG.L,WisdomTree Brent Crude Oil,LSE,ETF,TRADING212
BRTG.L,UBS ETC linked to the UBS Bloomberg CMCI Components Brent Crude GBP Mth Hdg TR,LSE,ETF,TRADING212
BTCEGBP.L,BTCetc - ETC Group Physical Bitcoin,LSE,ETF,TRADING212
BUFF.L,Buffettique Growth ETP,LSE,ETF,TRADING212
BUGG.L,Global X Cybersecurity UCITS ETF,LSE,ETF,TRADING212
BULP.L,WisdomTree Gold,LSE,ETF,TRADING212
CAPU.L,Ossiam Shiller Barclays CAPE US Sector Value TR,LSE,ETF,TRADING212
CARP.L,WisdomTree Carbon,LSE,ETF,TRADING212
CARS.L,WisdomTree Global Automotive Innovators UCITS ETF,LSE,ETF,TRADING212
CBUG.L,iShares USD Treasury Bond 3-7yr UCITS ETF,LSE,ETF,TRADING212
CE01.L,iShares EUR Govt Bond 7-10yr UCITS ETF EUR Acc,LSE,ETF,TRADING212
CE31.L,iShares EUR Govt Bond 1-3yr UCITS ETF EUR Acc,LSE,ETF,TRADING212
CE71.L,iShares EUR Govt Bond 3-7yr UCITS ETF,LSE,ETF,TRADING212
CEA1.L,iShares MSCI EM Asia UCITS ETF,LSE,ETF,TRADING212
CEBG.L,VanEck New China ESG UCITS ETF,LSE,ETF,TRADING212
CEMX.L,iShares MSCI EM Consumer Growth UCITS ETF,LSE,ETF,TRADING212
CES1.L,iShares MSCI EMU Small Cap UCITS ETF,LSE,ETF,TRADING212
CEU1.L,iShares Core MSCI EMU UCITS ETF,LSE,ETF,TRADING212
CEUG.L,iShares Core MSCI EMU UCITS ETF,LSE,ETF,TRADING212
CHGB.L,WisdomTree Short CHF Long GBP,LSE,ETF,TRADING212
CHIP.L,KraneShares ICBCCS S\u0026P China 500 UCITS ETF,LSE,ETF,TRADING212
CHRG.L,WisdomTree Battery Solutions UCITS ETF,LSE,ETF,TRADING212
CIRC.L,Rize Circular Economy Enablers UCITS ETF,LSE,ETF,TRADING212
CLMP.L,iClima Global Decarbonisation Enablers UCITS ETF,LSE,ETF,TRADING212
CLO6.L,Global X Cloud Computing UCITS ETF,LSE,ETF,TRADING212
CMB1.L,iShares FTSE MIB UCITS ETF EUR Acc,LSE,ETF,TRADING212
CMBG.L,UBS ETC linked to UBS Bloomberg BCOM Constant Maturity Composite GBP Mth Hdg TR,LSE,ETF,TRADING212
CMFP.L,L\u0026G Longer Dated All Commodities UCITS ETF,LSE,ETF,TRADING212
CMGB.L,UBS ETC linked to the UBS Bloomberg CMCI Composite GBP Monthly Hedged TR Index,LSE,ETF,TRADING212
CMGG.L,UBS ETC linked to UBS Bloomberg SPGSCI Constant Maturity Composite GBP Mth Hdg,LSE,ETF,TRADING212
CMOP.L,Invesco Bloomberg Commodity UCITS ETF,LSE,ETF,TRADING212
CMX1.L,iShares MSCI Mexico Capped UCITS ETF,LSE,ETF,TRADING212
CNKY.L,iShares Nikkei 225 UCITS ETF,LSE,ETF,TRADING212
CNX1.L,iShares NASDAQ 100 UCITS ETF,LSE,ETF,TRADING212
CNYB.L,iShares China CNY Bond UCITS ETF,LSE,ETF,TRADING212
CO2P.L,SparkChange Physical Carbon EUA ETC,LSE,ETF,TRADING212
COGO.L,WisdomTree AT1 CoCo Bond UCITS ETF,LSE,ETF,TRADING212
COMM.L,iShares Diversified Commodity Swap UCITS ETF,LSE,ETF,TRADING212
COMX.L,Wisdomtree Broad Commodities UCITS ETF,LSE,ETF,TRADING212
COPB.L,WisdomTree Copper,LSE,ETF,TRADING212
COPG.L,Global X Copper Miners UCITS ETF,LSE,ETF,TRADING212
COUK.L,Lyxor iBoxx GBP Liquid Corporates Long Dated UCITS ETF,LSE,ETF,TRADING212
CPJ1.L,iShares Core MSCI Pacific ex-Japan UCITS ETF,LSE,ETF,TRADING212
COMG.L,Amundi Bloomberg Equal-weight Commodity ex-Agriculture,LSE,ETF,TRADING212
CRHG.L,iShares Global Corp Bond UCITS ETF,LSE,ETF,TRADING212
CRPS.L,iShares Global Corp Bond UCITS ETF,LSE,ETF,TRADING212
CRU1.L,iShares MSCI Russia ADR/GDR UCITS ETF,LSE,ETF,TRADING212
CRUP.L,WisdomTree WTI Crude Oil,LSE,ETF,TRADING212
CS1.L,Amundi ETF MSCI Spain UCITS ETF,LSE,ETF,TRADING212
CS51.L,iShares Core EURO STOXX 50 UCITS ETF,LSE,ETF,TRADING212
CSCA.L,iShares MSCI Canada UCITS ETF,LSE,ETF,TRADING212
CSH2.L,Lyxor Smart Overnight Return UCITS ETF,LSE,ETF,TRADING212
CSJP.L,iShares MSCI Japan UCITS ETF,LSE,ETF,TRADING212
CSP1.L,iShares Core S\u0026P 500 UCITS ETF,LSE,ETF,TRADING212
CSUK.L,iShares MSCI UK UCITS ETF,LSE,ETF,TRADING212
CT2B.L,iShares Smart City Infrastructure UCITS ETF,LSE,ETF,TRADING212
CTEG.L,Global X Cleantech UCITS ETF,LSE,ETF,TRADING212
CU1.L,iShares MSCI USA UCITS ETF,LSE,ETF,TRADING212
CU31.L,iShares USD Treasury Bond 1-3yr UCITS ETF USD Acc B,LSE,ETF,TRADING212
CU71.L,iShares USD Treasury Bond 3-7yr UCITS ETF,LSE,ETF,TRADING212
CUKX.L,iShares Core FTSE 100 UCITS ETF GBP Acc,LSE,ETF,TRADING212
CUS1.L,iShares MSCI USA Small Cap ESG Enhanced UCITS ETF,LSE,ETF,TRADING212
CXAS.L,UBS ETC linked to UBS Bloomberg CMCI ex-Agri ex-Lvstk Capped GBP Mth Hdg TR,LSE,ETF,TRADING212
CYBP.L,Rize Cybersecurity and Data Privacy UCITS ETF,LSE,ETF,TRADING212
CYGB.L,iShares China CNY Bond UCITS ETF,LSE,ETF,TRADING212
CYSE.L,WisdomTree Cybersecurity UCITS ETF,LSE,ETF,TRADING212
DAGB.L,VanEck Crypto and Blockchain Innovators UCITS ETF,LSE,ETF,TRADING212
DDBG.L,iShares USD Development Bank Bonds UCITS ETF,LSE,ETF,TRADING212
DEMS.L,WisdomTree Emerging Markets Equity Income UCITS ETF,LSE,ETF,TRADING212
DEM.L,WisdomTree Emerging Markets Equity Income UCITS ETF,LSE,ETF,TRADING212
