symbol,name,industry,exchange_code,asset_type,data_source, note_1
A,Agilent Technologies Inc,,NYSE,STOCK,YFINANCE,SP500
AAL,American Airlines Group Inc,,NASDAQ,STOCK,YFINANCE,SP500
AAP,Advance Auto Parts Inc,,NYSE,STOCK,YFINANCE,SP500
AAPL,Apple Inc,,NASDAQ,STOCK,YFINANCE,SP500
ABBV,Abbvie Inc,,NYSE,STOCK,YFINANCE,SP500
ABT,Abbott Laboratories,,NYSE,STOCK,YFINANCE,SP500
ACGL,Arch Capital Group Ltd,,NASDAQ,STOCK,YFINANCE,SP500
ACN,Accenture plc - Class A,,NYSE,STOCK,YFINANCE,SP500
ADBE,Adobe Inc,,NASDAQ,STOCK,YFINANCE,SP500
ADI,Analog Devices Inc,,NASDAQ,STOCK,YFINANCE,SP500
ADM,Archer Daniels Midland Company,,NYSE,STOCK,YFINANCE,SP500
ADP,Automatic Data Processing Inc,,NASDAQ,STOCK,YFINANCE,SP500
ADSK,Autodesk Inc,,NASDAQ,STOCK,YFINANCE,SP500
AEE,Ameren Corp,,NYSE,STOCK,YFINANCE,SP500
AEP,American Electric Power Company Inc,,NASDAQ,STOCK,YFINANCE,SP500
AES,AES Corp,,NYSE,STOCK,YFINANCE,SP500
AFL,Aflac Inc,,NYSE,STOCK,YFINANCE,SP500
AIG,American International Group Inc,,NYSE,STOCK,YFINANCE,SP500
AIZ,Assurant Inc,,NYSE,STOCK,YFINANCE,SP500
AJG,Arthur J. Gallagher & Company,,NYSE,STOCK,YFINANCE,SP500
AKAM,Akamai Technologies Inc,,NASDAQ,STOCK,YFINANCE,SP500
ALB,Albemarle Corp,,NYSE,STOCK,YFINANCE,SP500
ALGN,Align Technology Inc,,NASDAQ,STOCK,YFINANCE,SP500
ALK,Alaska Air Group Inc,,NYSE,STOCK,YFINANCE,SP500
ALL,Allstate Corp (The),,NYSE,STOCK,YFINANCE,SP500
ALLE,Allegion plc,,NYSE,STOCK,YFINANCE,SP500
AMAT,Applied Materials Inc,,NASDAQ,STOCK,YFINANCE,SP500
AMCR,Amcor Plc,,NYSE,STOCK,YFINANCE,SP500
AMD,Advanced Micro Devices Inc,,NASDAQ,STOCK,YFINANCE,SP500
AME,Ametek Inc,,NYSE,STOCK,YFINANCE,SP500
AMGN,AMGEN Inc,,NASDAQ,STOCK,YFINANCE,SP500
AMP,Ameriprise Financial Inc,,NYSE,STOCK,YFINANCE,SP500
AMT,American Tower Corp,,NYSE,STOCK,YFINANCE,SP500
AMZN,Amazon.com Inc,,NASDAQ,STOCK,YFINANCE,SP500
ANET,Arista Networks Inc,,NYSE,STOCK,YFINANCE,SP500
ANSS,Ansys Inc,,NASDAQ,STOCK,YFINANCE,SP500
AON,Aon plc. - Class A,,NYSE,STOCK,YFINANCE,SP500
AOS,A.O. Smith Corp,,NYSE,STOCK,YFINANCE,SP500
APA,APA Corporation,,NASDAQ,STOCK,YFINANCE,SP500
APD,Air Products & Chemicals Inc,,NYSE,STOCK,YFINANCE,SP500
APH,Amphenol Corp - Class A,,NYSE,STOCK,YFINANCE,SP500
APTV,Aptiv PLC,,NYSE,STOCK,YFINANCE,SP500
ARE,Alexandria Real Estate Equities Inc,,NYSE,STOCK,YFINANCE,SP500
ATO,Atmos Energy Corp,,NYSE,STOCK,YFINANCE,SP500
AVB,Avalonbay Communities Inc,,NYSE,STOCK,YFINANCE,SP500
AVGO,Broadcom Inc,,NASDAQ,STOCK,YFINANCE,SP500
AVY,Avery Dennison Corp,,NYSE,STOCK,YFINANCE,SP500
AWK,American Water Works Co. Inc,,NYSE,STOCK,YFINANCE,SP500
AXON,Axon Enterprise Inc,,NASDAQ,STOCK,YFINANCE,SP500
AXP,American Express Company,,NYSE,STOCK,YFINANCE,SP500
AZO,Autozone Inc,,NYSE,STOCK,YFINANCE,SP500
BA,Boeing Company,,NYSE,STOCK,YFINANCE,SP500
BAC,Bank Of America Corp,,NYSE,STOCK,YFINANCE,SP500
BALL,Ball Corp,,NYSE,STOCK,YFINANCE,SP500
BAX,Baxter International Inc,,NYSE,STOCK,YFINANCE,SP500
BBWI,Bath & Body Works Inc,,NYSE,STOCK,YFINANCE,SP500
BBY,Best Buy Co. Inc,,NYSE,STOCK,YFINANCE,SP500
BDX,Becton Dickinson & Company,,NYSE,STOCK,YFINANCE,SP500
BEN,Franklin Resources Inc,,NYSE,STOCK,YFINANCE,SP500
BF-B,Brown-Forman Corp - Class B,,NYSE,STOCK,YFINANCE,SP500
BFEB,Innovator U.S. Equity Buffer ETF - February,,BATS,ETF,YFINANCE,SP500
BG,Bunge Global SA,,NYSE,STOCK,YFINANCE,SP500
BIIB,Biogen Inc,,NASDAQ,STOCK,YFINANCE,SP500
BIO,Bio-Rad Laboratories Inc - Class A,,NYSE,STOCK,YFINANCE,SP500
BK,Bank Of New York Mellon Corp,,NYSE,STOCK,YFINANCE,SP500
BKNG,Booking Holdings Inc,,NASDAQ,STOCK,YFINANCE,SP500
BKR,Baker Hughes Co - Class A,,NASDAQ,STOCK,YFINANCE,SP500
BLK,Blackrock Inc,,NYSE,STOCK,YFINANCE,SP500
BMY,Bristol-Myers Squibb Company,,NYSE,STOCK,YFINANCE,SP500
BR,Broadridge Financial Solutions Inc,,NYSE,STOCK,YFINANCE,SP500
BRK-B,Berkshire Hathaway Inc - Class B,,NYSE,STOCK,YFINANCE,SP500
BRO,Brown & Brown Inc,,NYSE,STOCK,YFINANCE,SP500
BSX,Boston Scientific Corp,,NYSE,STOCK,YFINANCE,SP500
BWA,BorgWarner Inc,,NYSE,STOCK,YFINANCE,SP500
BXP,Boston Properties Inc,,NYSE,STOCK,YFINANCE,SP500
C,Citigroup Inc,,NYSE,STOCK,YFINANCE,SP500
CAG,Conagra Brands Inc,,NYSE,STOCK,YFINANCE,SP500
CAH,Cardinal Health Inc,,NYSE,STOCK,YFINANCE,SP500
CARR,Carrier Global Corp,,NYSE,STOCK,YFINANCE,SP500
CAT,Caterpillar Inc,,NYSE,STOCK,YFINANCE,SP500
CB,Chubb Ltd,,NYSE,STOCK,YFINANCE,SP500
CBOE,Cboe Global Markets Inc,,BATS,STOCK,YFINANCE,SP500
CBRE,CBRE Group Inc - Class A,,NYSE,STOCK,YFINANCE,SP500
CCI,Crown Castle Inc,,NYSE,STOCK,YFINANCE,SP500
